name,short_description,description,type,available_formats,source,coverage_extent,data_download_lvl,statewide_coverage,footprint,download_size,recommended_use,date_created,tags,known_issues,alternative_data,derivative_data,spatial_reference,relationship_tag,category,download,download_link,order,wms_category,wms_link,pop_link,status_map_cartodb_id,agency,agency_web,agency_gis_page,date_added,license,tile_index,supplemental_report
Natural Regions,"This dataset was set up as a system to identify broad natural regions of Texas, to serve as a common point of reference.","This dataset was set up as a system to identify broad natural regions of Texas, to serve as a common point of reference for scientists, students, visitors and all citizens of Texas; and to locate and recommend for preservation natural areas that contain unique, significant, unusual and scenic resources, including rare or endangered species and endangered geological formations and ecosystems, with the goal of preserving elements of Texas natural diversity (LBJ School of Public Affairs, 1978 p17).",Vector,Shapefile,TPWD,Texas,state,,State,305 KB,Basemap,,"Texas, Statewide, Texas Parks and Wildlife Department, TPWD, Natural Regions, Ecological, Species, Habitat, Ecosystem, Geology, Formation, Historical",Age,None,None,[EPSG 4269](https://epsg.io/4269),,Natural Regions,,https://tnris-datadownload.s3.amazonaws.com/d/naturalregions/state/tx/naturalregions_tx.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
NCTCOG 2001 1ft NC,North Central Texas Council of Governments facilitated the purchase of digital aerial photography (orthos) for the following 11 counties in North Central Texas,"North Central Texas Council of Governments facilitated the purchase of digital aerial photography (orthos) for the following 11 counties in North Central Texas: Collin, Dallas, Denton, Ellis, Hunt, Johnson, Kaufman, Navarro, Rockwall, Somervell and Tarrant. The orthos are one-foot resolution and were gathered in February and March of 2001. The contractor for this project was Vargis, LLC. Each TIFF ortho tile is 3,000' x 2,000', or 0.215 square miles.",Raster,MrSID,NCTCOG,NCTCOG Counties,,,NCTCOG Flight Grid,,Basemap,2001,"North Central Texas Council of Governments, NCTCOG, Dallas, Fort Worth, Tarrant, County, Regional, Orthoimagery, Aerial Imagery, Natural Color, NC, Historical",None,None,None,[EPSG 2276](https://epsg.io/2276),,Orthoimagery - Regional,,,T,,,,21dfc78e-deed-11e4-8060-0e4fddd5de28,North Central Texas Council of Governments,www.nctcog.org/,,2014-02-01,CC0,T,
NCTCOG 2003 1ft NC,North Central Texas Council of Governments facilitated the purchase of digital aerial photography (orthos) for the following 11 counties in North Central Texas,"North Central Texas Council of Governments facilitated the purchase of digital aerial photography (orthos) for all 16 counties in North Central Texas. The orthos are six-inch resolution for Collin, Dallas, Denton, Ellis, Kaufman, Navarro, Rockwall, and Tarrant counties and one-foot resolution for the remaining counties. Data were collected from January to March of 2003. NCTCOG's contractors for this project were Dallas Aerial Surveys and Pixxures. Each TIFF ortho tile is 3,000' x 2,000', or 0.215 square miles.",Raster,Tiff,NCTCOG,NCTCOG Counties,,,NCTCOG Flight Grid,,Basemap,2003,"North Central Texas Council of Governments, NCTCOG, Dallas, Fort Worth, Tarrant, County, Regional, Orthoimagery, Aerial Imagery, Natural Color, NC, Historical",None,None,None,[EPSG 2276](https://epsg.io/2276),,Orthoimagery - Regional,,,T,,,,83c5fc04-e2b0-11e4-8e69-0e853d047bba,North Central Texas Council of Governments,www.nctcog.org/,,2014-02-01,CC0,T,
NCTCOG 2007 1ft NC,North Central Texas Council of Governments facilitated the purchase of digital aerial photography (orthos) for the following 11 counties in North Central Texas,"The North Central Texas Council of Governments has facilitated the purchase of digital aerial photography (orthos) for the following eight counties in North Central Texas: Collin, Dallas, Denton, Ellis, Kaufman, Navarro, Rockwall and Tarrant. The orthos are six-inch resolution and were collected from January to March of 2005. NCTCOG's contractor for this project is Bohannan Huston. Each TIFF ortho tile is 3,000' x 2,000', or 0.215 square miles.",Raster,,NCTCOG,NCTCOG Counties,,,NCTCOG Flight Grid,,Basemap,2007,"North Central Texas Council of Governments, NCTCOG, Dallas, Fort Worth, Tarrant, County, Regional, Orthoimagery, Aerial Imagery, Natural Color, NC, Historical",None,None,None,[EPSG 2276](https://epsg.io/2276),,Orthoimagery - Regional,,,T,,,,2bbe6dde-e2b5-11e4-b38f-0e0c41326911,North Central Texas Council of Governments,www.nctcog.org/,,2014-02-01,CC0,T,
NOAA 2007,The Coastal Texas project area is comprised of approximately 458 square miles.,"The Coastal Texas project area is comprised of approximately 458 square miles. A total of 219 multispectral orthos were created to cover this area. Aerial imagery was collected in panchromatic, Red, Green, Blue and Near Infrared which yielded a natural color and false color infrared version of the completed digital orthophotography. Imagery was collected at an approximate altitude of 21000 feet above ground level. These data have been created as a result of the need for having geospatial data immediately available and easily accessible in order to enhance the capability of the noaa_2007 Coastal Services Center (CSC) and the USGS. The bounding coordinates provided within the Spatial Domain section represent a rectangle covering the total area in which the project is located. The actual project boundary located within this area is comprised of areas delimited by areas along the coast of the state of Texas. The Coastal Texas project area is comprised of approximately 458 square miles. A total of 219 multispectral orthos were created to cover this area. Aerial imagery was collected in panchromatic, Red, Green, Blue and Near Infrared which yielded a natural color and false color infrared version of the completed digital orthophotography. Imagery was collected at an approximate altitude of 21000 feet above ground level. An orthoimage is remotely sensed image data in which displacement of features in the image caused by terrain relief and sensor orientation have been mathematically removed. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map.",Raster/Imagery,JP2,NOAA,Texas Coast (458 square miles),quad,,USGS Quadrangle,1.03 GB,"Basemap, Research",2007,"National Oceanic and Atmospheric Administration, noaa_2007, Texas, Coast, Regional, Imagery, Aerial, Orthoimagery, Natural Color, NC, Color Infrared, CIR, Historical",None,"NAIP, TOP",Mosaics,[EPSG 26914](https://epsg.io/26914),,Orthoimagery - Regional,T,,,,,,819d89e0-deed-11e4-8ad3-0e9d821ea90d,,,,2014-02-01,CC0,T,
Original Texas Land Survey,An interpretation of the Original Texas Land Surveys boundaries and bay tracts.,"An interpretation of the Original Texas Land Surveys boundaries and bay tracts. The dataset was derived from the Texas General Land Office (GLO) county maps, the GLO Abstract of Original Land Titles: Volumes and Supplements, and the GLO maps of State-Owned Submerged Lands of the Texas Gulf Coast (bay tracts). 

The GLO county maps, showing the boundaries of the original land grants of the State of Texas, were compiled and drawn by GLO draftsmen. This dataset is a digital interpretation of the geographic placement of the original land grants and bay area tracts depicted on these GLO maps and is not a legal survey product.",Vector,Shapefile,TxRRC,Texas,"state,county",T,County,1 MB,Research,2014,"Original Texas Land Survey, OTLS, Plat, Section, Township, Public, Railroad Commission, RRC, Texas, Statewide",Dataset often confused with parcels,None,None,[EPSG 4267](https://epsg.io/4267),,Boundary,T,https://tnris-datadownload.s3.amazonaws.com/d/otls/state/tx/otls_tx.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
PLSS Section,The Public Land Survey System (PLSS) is a way of subdividing and describing land in the United States.,"Although Texas was never divided into Township and Range, PLSS Township and Range data does exist for counties adjacent to PLSS states (New Mexico, Arkansas, Oklahoma, and Louisiana).

The Public Land Survey System (PLSS) is a way of subdividing and describing land in the United States. All lands in the public domain are subject to subdivision by this rectangular system of surveys, which is regulated by the U.S. Department of the Interior, Bureau of Land Management (BLM). The PLSS typically divides land into 6-mile-square townships, which is the level of information included in the National Atlas. Townships are subdivided into 36 one-mile- square sections. Sections can be further subdivided into quarter sections, quarter-quarter sections, or irregular government lots. 

Normally, a permanent monument, or marker, is placed at each section corner. Monuments are also placed at quarter-section corners and at other important points, such as the corners of government lots. Today permanent monuments are usually inscribed tablets set on iron rods or in concrete. The original PLSS surveys were often marked by wooden stakes or posts, marked trees, pits, or piles of rock, or other less-permanent markers.",Vector,Shapefile,USDA,"Counties bordering New Mexico, Oklahoma, Arkansas, Louisiana",county,,County,1MB,Research,2012,"Public Land Survey System, PLSS, National, Section, United States, New Mexico, Oklahoma, Arkansas, Louisiana",Limited area for Texas,None,None,[EPSG 4269](https://epsg.io/4269),,Boundary,T,,,,,,4c34b1f6-deee-11e4-a973-0e0c41326911,,,,2014-02-01,CC0,,
PLSS Township,The Public Land Survey System (PLSS) is a way of subdividing and describing land in the United States.,"Although Texas was never divided into Township and Range, PLSS Township and Range data does exist for counties adjacent to PLSS states (New Mexico, Arkansas, Oklahoma, and Louisiana).

The Public Land Survey System (PLSS) is a way of subdividing and describing land in the United States. All lands in the public domain are subject to subdivision by this rectangular system of surveys, which is regulated by the U.S. Department of the Interior, Bureau of Land Management (BLM). The PLSS typically divides land into 6-mile-square townships, which is the level of information included in the National Atlas. Townships are subdivided into 36 one-mile- square sections. Sections can be further subdivided into quarter sections, quarter-quarter sections, or irregular government lots. 

Normally, a permanent monument, or marker, is placed at each section corner. Monuments are also placed at quarter-section corners and at other important points, such as the corners of government lots. Today permanent monuments are usually inscribed tablets set on iron rods or in concrete. The original PLSS surveys were often marked by wooden stakes or posts, marked trees, pits, or piles of rock, or other less-permanent markers.",Vector,Shapefile,USDA,"Counties bordering New Mexico, Oklahoma, Arkansas, Louisiana",county,,County,1MB,Research,2012,"Public Land Survey System, PLSS, National, Township, United States, New Mexico, Oklahoma, Arkansas, Louisiana",Limited area for Texas,None,None,[EPSG 4269](https://epsg.io/4269),,Boundary,T,,,,,,7bf9735c-def5-11e4-8aee-0e0c41326911,,,,2014-02-01,CC0,,
Political Boundaries,"The political boundaries Texas dataset contains the most up to date political jurisdictions, boundaries (state, county, city), and parks.","The political boundaries Texas dataset contains the most up to date political jurisdictions, boundaries (state, county, city), and parks. Each of the boundary datasets are derived from various sources such as the Texas Department of Transportation, Texas Parks and Wildlife, and local jurisdictions to create the most comprehensive datasets available.

Within the download you will receive.

- StratMap County Polygon
- StratMap County Seats
- StratMap Cultural
- StratMap Parks
- TxDOT City Point (End of Year)
- TxDOT City Polygon (End of Year)
- TxDOT County Detailed Polygon
- TxDOT County Generalized Polygon","Point, Polygon",Shapefile,"Federal (US Census), State (TxDOT, TPWD), Regional (COGs), Local (County, Municipalities)",Statewide coverage - Actual boundaries of polygons,state,,State,All boundaries - 14.3 MB (zipped),"Basemap, cartographic representation, planning, etc.",Last update was April 2012,"Political jurisdictions, City, County, Park, Landmark, Boundaries, City Limits, County seats","Not actual legal representations of boundaries, Multi-sourced, update frequency","TxDOT county and city boundaries, TWPD State Parks, GNIS",None,[EPSG 4269](https://epsg.io/4269),,Boundary,,https://tnris-datadownload.s3.amazonaws.com/d/political-bnd/state/tx/political-bnd_tx.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2015-12-16,CC0,,
Precipitation,Display and/or analyses requiring spatially distributed monthly or annual precipitation for the climatological period 1961-90.,"Display and/or analyses requiring spatially distributed monthly or annual precipitation for the climatological period 1961-90. Vector and polygon coverages of average monthly and annual precipitation for the climatological period 1961-90. 

Parameter-elevation Regressions on Independent Slopes Model (PRISM) derived raster data is the underlying data set from which the polygons and vectors were created. PRISM is an analytical model that uses point data and a digital elevation model (DEM) to generate gridded estimates of annual, monthly and event-based climatic parameters. Detailed descriptions of the PRISM raster data can be found with the accompanying raster data sets.",Vector,Shapefile,NOAA,Texas,state,,State,10.05 MB,Basemap,,"National Oceanic and Atmospheric Administration, noaa_2007, Texas, Statewide, Precipitation, Rainfall, Weather",Age,None,None,[EPSG 4269](https://epsg.io/4269),,Weather,,https://tnris-datadownload.s3.amazonaws.com/d/noaa-climate/state/tx/noaa-climate_tx.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
Shuttle Radar Topography Mission,The Shuttle Radar Topography Mission (SRTM) obtained elevation data on a near-global scale to generate the most complete high-resolution digital topographic database of Earth.,"The Shuttle Radar Topography Mission (SRTM) obtained elevation data on a near-global scale to generate the most complete high-resolution digital topographic database of Earth. SRTM consisted of a specially modified radar system that flew onboard the Space Shuttle Endeavour during an 11-day mission in February of 2000. 

SRTM data for regions outside the United States were sampled for public release at 3 arc-seconds, which is 1/1200th of a degree of latitude and longitude, or about 90 meters (295 feet). The new data are being released with a 1 arc-second, or about 30 meters (98 feet), sampling that reveals the full resolution of the original measurements. Data for most of Africa and its surrounding areas were released with the September 2014 announcement. The next release, in November 2014 included all of South America and North America, most of Europe, and islands in the eastern Pacific Ocean. The most recent release, in January 2015 includes most of continental Asia (now including India), the East Indies, Australia, New Zealand, and islands of the western Pacific.",Raster,DEM,JPL,Texas +overlap,quad,,USGS 1 Degree Block,2 MB - 18 MB,Basemap,2007,"Shuttle Radar Topography Mission, SRTM, Satellite, Elevation, Historical, Texas, Statewide","90M. Age,",None,None,[EPSG 4326](https://epsg.io/4326),,Elevation,T,,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,T,
Soils,This data set is a digital soil survey and generally is the most detailed level of soil geographic data developed by the National Cooperative Soil Survey.,"This data set is a digital soil survey and generally is the most detailed level of soil geographic data developed by the National Cooperative Soil Survey. The information was prepared by digitizing maps, by compiling information onto a planimetric correct base and digitizing, or by revising digitized maps using remotely sensed and other information. This data set consists of georeferenced digital map data and computerized attribute data. 

The map data are in a soil survey area extent format and include a detailed, field verified inventory of soils and miscellaneous areas that normally occur in a repeatable pattern on the landscape and that can be cartographically shown at the scale mapped. A special soil features layer (point and line features) is optional. This layer displays the location of features too small to delineate at the mapping scale, but they are large enough and contrasting enough to significantly influence use and management. The soil map units are linked to attributes in the National Soil Information System relational database, which gives the proportionate extent of the component soils and their properties. 

SSURGO depicts information about the kinds and distribution of soils on the landscape. The soil map and data used in the SSURGO product were prepared by soil scientists as part of the National Cooperative Soil Survey.",Vector,Shapefile,NRCS,Texas,"state,county",T,"State, County",,Basemap,,"Soil, SSURGO, Survey, Geographic, Database, Agriculture, USDA, United States Department of Agriculture, NRCS, Natural Resources Conservation Service",None,None,None,[EPSG 4269](https://epsg.io/4269),,Natural Regions,T,https://tnris-datadownload.s3.amazonaws.com/d/nrcs-soils/state/tx/nrcs-soils_tx.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
SPOT Select for Texas Pan BW 1999-2001 10m,SPOT Select for Texas,"The SPOT (Satellites Pour l'Observation de la Terre or Earth-observing Satellites) remote-sensing programme was set up in 1978 by France in partnership with Belgium and Sweden. The SPOT satellites constellation offers acquisition and revisit capacity allowing to acquire imagery from anywhere in the world, every day. 

Each SPOT payload comprises two identical high resolution optical imaging instruments, which can operate simultaneously or individually in either panchromatic (P mode: a single wide band in the visible part of the spectrum) or multispectral mode (XS mode: the green, red, and infrared bands of the electromagnetic spectrum). 

The orientation of each instrument's strip-selection mirror can be remotely steered by the ground stations, offering an oblique viewing capability up to angles of +/- 27 degrees from the satellite's vertical axis. In this way, the temporal resolution is shortened from 26 to 4-5 days for the temperate zones. On SPOT 5 , the HRS (High-Resolution Stereoscopic) imaging instrument also allows simultaneous acquisition of stereo pairs.",Raster,Tiff,SPOT,Texas +overlap,quad,,USGS Quadrangle,,Basemap,,"Satellite, Observation, Earth, Imagery, Statewide, Texas, Historical",Age,None,None,"[EPSG 26913](https://epsg.io/26913), [EPSG 26914](https://epsg.io/26914), [EPSG 26915](https://epsg.io/26915)",,Orthoimagery - Statewide,T,,,,,,a084a9d0-def0-11e4-b24f-0e018d66dc29,,,,2014-02-01,CC0,T,
StratMap Hypso,Hypsography (elevation contours) derived by digitizing map features as line graph elements from the cartographic source materials.,"Hypsography (elevation contours) Digital Line Graph (DLG-3) data are currently derived by digitizing map features as line graph elements from the cartographic source materials. The scale of the source materials is 1:24,000.",Vector,"Shapefile, GDB",TNRIS,Texas,"state,quad",T,"State, USGS Quadrangle",3 MB per quad,Basemap,1997,"Contour lines, Hypsography, Elevation, Topography, Interval, Historical, Isolines.","Mismatched edges, Age, Quality",None,None,[EPSG 4269](https://epsg.io/4269),,Elevation,,https://tnris-datadownload.s3.amazonaws.com/d/stratmap-hypso-ln/state/tx/stratmap-hypso-ln_tx.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
StratMap Transportation,"This data has been retired and is no longer available for download. It can still be ordered, but only for historic purposes. ","This data has been retired and is no longer available for download. It can still be ordered, but only for historic purposes. 

The StratMap transportation layer was an updated, digital version of the transportation features found on the 7.5 minute, 1:24,000 scale USGS quadrangle maps. Where available, digital ortho-photography and GPS data are used to improve positional accuracy. 

Transportation features encompass all public roads in Texas, including city streets, state and federal highways, interstates, and selected private roads. The transportation layer is designed to be a universal transportation layer that can be integrated into a GIS application or project. The StratMap statewide transportation dataset is a publicly available digital data layer which serves as a cartographic product for seamless Basemap production.",Line,"Shapefile, FGDB",TNRIS-StratMap (TeleAtlas),"Statewide coverage, County",,,"State, County","Shapefiles for counties vary, Statewide FGDB is 369 MB","Basemap, cartographic representation, planning, etc.",2006,"Roads, Streets, Roadways, Centerlines","Old data/Vintage/Out of date, No address ranges","TxDOT Roadways, Census TIGER, Open Source","Road categories (Major roads, county roads, local, etc.)",[EPSG 4269](https://epsg.io/4269),,Transportation,,,T,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
Taylor County 2002 BW,"Digital orthophoto images for the City of Abilene, Taylor County, Taylor County Central Appraisal District and Taylor County 911 Office.","Digital orthophoto images that are produced by Sanborn Map Company of San Antonio, TX for the City of Abilene, Taylor County, Taylor County Central Appraisal District and Taylor County 911 Office. The images were developed at an original pixel resolution of 2 foot by 2 foot in Texas State Plane Coordinate System, Zone 4202, NAD83 but were resampled to 1 meter resolution and re-projected to UTM Zone 14, NAD83.",Raster,Tiff,Taylor County,Taylor County,,,Taylor County Flight Grid,,Basemap,2002,"Taylor, Abilene, Orthoimagery, Imagery, Aerial Photography, BW, Black, White","Age, Black and White, Overlap",None,None,[EPSG 26914](https://epsg.io/26914),,Orthoimagery - Regional,,,T,,,,73050fda-def1-11e4-afc9-0e018d66dc29,,,,2014-02-01,CC0,T,
TCEQ Active Air Monitoring Sites,"This layer contains TCEQ's currently active Air Quality Monitoring stations that operate at ""fixed"" sites.","This layer contains TCEQ's currently active Air Quality Monitoring stations that operate at ""fixed"" sites.",Vector,"Shapefile, Geo-Database, KML",TCEQ,Texas,Statewide,,State,,"Basemap, Research, Analysis",Creation date varies,,None,None,None,[EPSG 4269](https://epsg.io/4269),,Environmental,,http://www.tceq.state.tx.us/assets/public/gis/exports/TCEQ_Active_Air_Monitoring_Sites_shp.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,Texas Commission on Environmental Quality,http://www.tceq.state.tx.us/,,2015-11-20,NA,,
TCEQ Arroyo-Colorado Watershed LULC,This is an ArcView shapefile which delineates the land use and land cover (LULC) of the indicated watershed.,"This is an ArcView shapefile which delineates the land use and land cover (LULC) of the indicated watershed. Attribution of the polygons is based on a modified Anderson classification schema. A detailed description of this schema can be found in the ""Supplemental Information"" Section. All LULC data were collected from high-resolution (1:40,000-scale) aerial photography. The minimum mapping unit used for delineating a polygon is 5 acres. Please Note: This dataset has not been ground-truthed for attribute accuracy. See the ""attribute accuracy report"" below for more information. 
 
 Through a USGS interdivisional agreement between NMD and the Water Resources Division (WRD), NMD has collected the LULC data set for the available watersheds. The WRD Texas District Office intends to use the LULC data to monitor the effects of agricultural pollutants on water quality in the watershed study area.",Vector,Shapefile,TCEQ,Texas,Statewide,,State,,"Basemap, Research, Analysis",Creation date varies,"Texas, Statewide, Watershed, Hydrography, Hydrology, HUC,",None,None,None,[EPSG 3081](https://epsg.io/3081),,Land Use - Land Cover,,https://www.tceq.texas.gov/assets/public/gis/exports/edw_lulc.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,Texas Commission on Environmental Quality,http://www.tceq.state.tx.us/,,2015-11-20,NA,,
TCEQ Assessment Units,"This layer depicts the official TCEQ Segments at the Assessment Unit (AU) level for the State of Texas as listed in Title 30, Chapter 307 of the Texas Administrative Code (TAC), also known as the Surface Water Quality Standards.","This layer depicts the official TCEQ Segments at the Assessment Unit (AU) level for the State of Texas as listed in Title 30, Chapter 307 of the Texas Administrative Code (TAC), also known as the Surface Water Quality Standards. These are streams and waterbodies that have been individually defined by the TCEQ and assigned unique identification numbers. Intended to have relatively homogeneous chemical, physical, and hydrological characteristics, a segment provides a basic unit for assigning site-specific standards and for applying water quality management programs of the agency. Both ""classified"" and ""unclassified"" segments have been included in this layer. Classified segments, also referred to as designated segments, refer to water bodies that are
 protected by site- specific criteria. The classified segments are listed and described in Appendix A and C of Chapter 307.10. The site-specific uses and criteria are described in Appendix A. Classified waters include most rivers and their major tributaries, major reservoirs, and estuaries. Unclassified waters are those smaller water bodies that do not have site-specific water quality standards assigned to them, but instead are protected by general standards that apply to all surface waters in the state. This layer also indentifies which assessment units have been assessed in the DRAFT 2010
 Texas Integrated Report for Clean Water Act Sections 305 (b) and 303 (d). An impaired assessment unit is a water body included in Category 5. Water bodies in Category 5 do not meet applicable water quality standards or are threatened for one or more designated uses by one or more pollutants.
 
 General purpose use; to support agency-wide policy decisions regarding surface water quality in the State of Texas. Due to the various scales inherent from using multiple sources in the creation of this dataset, this layer should not be used for making important decisions at scales greater than 1:250,000.",Vector,"Shapefile, Geo-Database, KML",TCEQ,Texas,Statewide,,State,,"Basemap, Research, Analysis",Creation date varies,"Texas, Statewide, Watershed, Hydrography, Hydrology, HUC,",None,None,None,[EPSG 4269](https://epsg.io/4269),,Hydrography,,http://www.tceq.state.tx.us/assets/public/gis/exports/tceq_au_2012_shp.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,Texas Commission on Environmental Quality,http://www.tceq.state.tx.us/,,2015-11-20,NA,,
TCEQ Brazos-Colorado Coastal Watershed LULC,This is an ArcView shapefile which delineates the land use and land cover (LULC) of the indicated watershed.,"This is an ArcView shapefile which delineates the land use and land cover (LULC) of the indicated watershed. Attribution of the polygons is based on a modified Anderson classification schema. A detailed description of this schema can be found in the ""Supplemental Information"" Section. All LULC data were collected from high-resolution (1:40,000-scale) aerial photography. The minimum mapping unit used for delineating a polygon is 5 acres. Please Note: This dataset has not been ground-truthed for attribute accuracy. See the ""attribute accuracy report"" below for more information. 
 
 Through a USGS interdivisional agreement between NMD and the Water Resources Division (WRD), NMD has collected the LULC data set for the available watersheds. The WRD Texas District Office intends to use the LULC data to monitor the effects of agricultural pollutants on water quality in the watershed study area.",Vector,Shapefile,TCEQ,Texas,Statewide,,State,,"Basemap, Research, Analysis",Creation date varies,"Texas, Statewide, Watershed, Hydrography, Hydrology, HUC,",None,None,None,[EPSG 3081](https://epsg.io/3081),,Land Use - Land Cover,,https://www.tceq.texas.gov/assets/public/gis/exports/arroyo_col.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,Texas Commission on Environmental Quality,http://www.tceq.state.tx.us/,,2015-11-20,NA,,
TCEQ Edwards Aquifer LULC,This is an ArcView shapefile which delineates the land use and land cover (LULC) of the indicated watershed.,"This is an ArcView shapefile which delineates the land use and land cover (LULC) of the indicated watershed. Attribution of the polygons is based on a modified Anderson classification schema. A detailed description of this schema can be found in the ""Supplemental Information"" Section. All LULC data were collected from high-resolution (1:40,000-scale) aerial photography. The minimum mapping unit used for delineating a polygon is 5 acres. Please Note: This dataset has not been ground-truthed for attribute accuracy. See the ""attribute accuracy report"" below for more information. 
 
 Through a USGS interdivisional agreement between NMD and the Water Resources Division (WRD), NMD has collected the LULC data set for the available watersheds. The WRD Texas District Office intends to use the LULC data to monitor the effects of agricultural pollutants on water quality in the watershed study area.",Vector,Shapefile,TCEQ,Texas,Statewide,,State,,"Basemap, Research, Analysis",Creation date varies,"Texas, Statewide, Watershed, Hydrography, Hydrology, HUC,",None,None,None,[EPSG 3081](https://epsg.io/3081),,Land Use - Land Cover,,https://www.tceq.texas.gov/assets/public/gis/exports/brazos_col.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,Texas Commission on Environmental Quality,http://www.tceq.state.tx.us/,,2015-11-20,NA,,
TCEQ Edwards Aquifer Regulatory Boundary,This dataset represents the geographic areas identified in TCEQ rules as being subject to regulation under the Edwards Aquifer Protection Program.,"This dataset represents the geographic areas identified in TCEQ rules as being subject to regulation under the Edwards Aquifer Protection Program. The coverage was derived from existing official hard copy maps, containing regulatory boundaries based on previous geologic interpretation of the Edwards Aquifer Recharge, Transition, Contributing and Contributing Within the Transition zones, as defined in 30 TAC 213. This dataset contains lines, area features and zone types attributes extended to all 90 USGS 7.5-minute maps under TCEQ rules.
 
 Effective September 1, 2005, amended 30 TAC 213 changes the designation of portions of four areas in northern Hays and southern Travis Counties. The commission adopts changes from transition zone to contributing zone within the transition zone, from transition zone to recharge zone and from recharge zone to transition zone. These changes were made to regulatory zone boundaries on the Oak Hill 7.5 Minute Quadrangle, the Mountain City 7.5 Minute Quadrangle, and the Buda 7.5 Minute Quadrangle.",Vector,"Shapefile, Geo-Database, KML",TCEQ,Texas,Statewide,,State,,"Basemap, Research, Analysis",Creation date varies,"Texas, Statewide, Watershed, Hydrography, Hydrology, HUC,",None,None,None,[EPSG 4269](https://epsg.io/4269),,Hydrography,,http://www.tceq.state.tx.us/assets/public/gis/exports/edwards_utm27.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,Texas Commission on Environmental Quality,http://www.tceq.state.tx.us/,,2015-11-20,NA,,
TCEQ Groundwater Conservation Districts,Geographical representation of thee TCEQ Groundwater Conservation Districts.,Geographical representation of thee TCEQ Groundwater Conservation Districts.,Vector,"Shapefile, Geo-Database, KML",TCEQ,Texas,Statewide,,State,,"Basemap, Research, Analysis",Creation date varies,"Texas, Statewide, Watershed, Hydrography, Hydrology, HUC,",None,None,None,[EPSG 4269](https://epsg.io/4269),,Hydrography,,http://www.tceq.state.tx.us/assets/public/gis/exports/TCEQ_GCD_shp.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,Texas Commission on Environmental Quality,http://www.tceq.state.tx.us/,,2015-11-20,NA,,
TCEQ Municipal Setting Designations Boundaries,Municipal Setting Designations: An MSD is an official state designation given to property within a municipality or its extraterritorial jurisdiction that certifies that designated groundwater at the property is not used as potable water.,"Municipal Setting Designations: An MSD is an official state designation given to property within a municipality or its extraterritorial jurisdiction that certifies that designated groundwater at the property is not used as potable water, and is prohibited from future use as potable water because that groundwater is contaminated in excess of the applicable potable-water protective concentration level. The prohibition must be in the form of a city ordinance, or a restrictive covenant that is enforceable by the city and filed in the property records. The program ID is the application number and is the data set's key field labled as ""MSD_APPLIC"".
 
 The MSD_Boundary data set is a compilation of the real properties boundaries that applicants to the MSD program have designated as 'proposed"" MSD areas. This
 data set has been created to show the geograhical area the applicant has applied for an MSD under the program . Each area is identified by the program's application ID (ie. MSD AP 001). This data set corresponds to the MSDs_Point shape file which uses the same application number and key field name ""MSD_APPLIC"". The point coordinates are the approximate centroid of the proposed MDS area(s). Supplemental_Information: The MSD_Boundary data set has only the MSD program's appication number and the proposed MSD area geometry. The MSDs_Point data set includes only the major program information on each application recived by TCEQ including the status of TCEQ's review and approval of the propsed MSD and the applicants name and the general address of the proposed MSD.",Vector,"Shapefile, Geo-Database, KML",TCEQ,Texas,Statewide,,State,,"Basemap, Research, Analysis",Creation date varies,,None,None,None,[EPSG 4269](https://epsg.io/4269),,Environmental,,https://www.tceq.texas.gov/assets/public/gis/exports/msd_poly_shp.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,Texas Commission on Environmental Quality,http://www.tceq.state.tx.us/,,2015-11-20,NA,,
